summitId,latitude,longitude,elevation,candidate
1929651,30.1347,118.1642,1832.84,True
-937517,-28.125,-49.475,1826.97,True
1948957,-27.9097,-49.3219,1822.59,True
1959645,18.8994,109.7044,1817.12,True
-946569,66.025,163.2367,1816.91,True
-950004,12.0325,104.1708,1812.95,True
1969258,66.0247,163.2383,1812.03,True
1976841,12.0328,104.1711,1808.19,True
-955649,51.8842,-178.1425,1805.94,True
1997980,51.8831,-178.1442,1797.2,True
2012966,-9.2442,27.8183,1789.6,True
2019079,63.645,-50.3989,1786.54,True
2022833,8.4942,99.7294,1784.74,True
2030442,65.3378,165.5622,1781.07,True
-979664,67.5392,168.1383,1780.95,True
-979763,8.4942,99.7292,1780.03,True
2033322,67.5389,168.1383,1779.59,True
2037902,45.4725,114.5892,1777.23,True
2060063,9.9342,9.0344,1766.46,True
2082983,7.6219,-8.4083,1755.34,True
-1007030,9.9342,9.0342,1751.99,True
-1007216,7.6225,-8.4083,1751.99,True
-1010201,-17.1942,30.6892,1748.94,True
2098674,-17.195,30.6883,1747.78,True
2099348,47.0578,120.5219,1747.47,True
-1014237,80.4325,-19.6858,1744.07,True
-1015306,47.0575,120.5217,1743.0,True
2118965,-11.1133,26.3914,1738.13,True
-1023219,-11.1133,26.3917,1735.0,True
2137310,47.5422,120.48,1729.63,True
2148791,80.4328,-19.6903,1724.39,True
-1036496,24.6492,72.775,1722.12,True
2167732,59.3242,114.4233,1715.85,True
2169517,24.65,72.7769,1715.02,True
-1047164,79.0108,17.4908,1712.98,True
-1053959,0.0425,-91.3342,1706.88,True
2192446,79.0106,17.4917,1704.82,True
2192949,0.0425,-91.335,1704.57,True
-1059628,69.13,94.9375,1701.09,True
-1070843,-13.9925,-47.4875,1691.03,True
2245681,-73.6525,-94.095,1681.61,True
-1083359,18.2275,82.725,1680.06,True
-1084396,-13.4792,17.9875,1679.75,True
-1084731,-13.4792,17.99,1679.75,True
2251453,69.1264,95.3117,1679.08,True
2251508,18.2281,82.7228,1679.06,True
2268253,-13.9522,-47.5208,1672.15,True
2286071,-49.5942,69.4939,1664.53,True
-1114559,58.8875,-63.71,1652.02,True
-1117868,-33.7808,-80.815,1649.88,True
-1122158,19.6,73.7108,1645.92,True
-1127940,-12.0267,23.5667,1641.0,True
-1128988,-68.835,-90.6175,1640.13,True
2347601,-68.8275,-90.6317,1639.08,True
2350278,54.255,58.1042,1638.01,True
-1132313,54.255,58.105,1638.0,True
-1143702,-20.5883,164.77,1627.94,True
2375517,-20.5886,164.7708,1627.66,True
2376964,-20.6217,29.9033,1627.06,True
-1150318,-17.3992,145.8183,1622.15,True
-1157797,-41.8708,146.0333,1616.96,True
2410323,-17.3994,145.8181,1613.85,True
2410876,-21.88,166.4225,1613.62,True
-1166800,-20.6333,30.315,1609.95,True
2420845,-41.8711,146.0333,1609.81,True
-1166990,50.8517,143.1417,1609.04,True
2430992,45.9044,-68.9214,1605.69,True
-1172114,45.9042,-68.9217,1605.69,True
2431810,50.8517,143.1422,1605.34,True
2436139,11.9033,18.1908,1603.62,True
2436823,50.7361,15.7397,1603.35,True
-1176115,50.7358,15.7392,1602.94,True
2447698,-32.0031,151.4469,1599.25,True
2447921,19.6014,73.7089,1599.15,True
2449124,22.0586,-159.4975,1598.68,True
-1182138,22.0583,-159.4975,1598.07,True
-1184071,-32.0025,151.4475,1596.85,True
2462199,58.9444,-63.79,1593.36,True
-1198667,-30.4375,152.24,1585.87,True
2487388,-30.4378,152.2403,1583.65,True
-1217005,-41.5333,147.6583,1571.85,True
2520107,-41.5331,147.6589,1571.12,True
-1218574,59.6317,59.135,1570.02,True
2539588,59.6319,59.1347,1563.81,True
2545290,48.4236,75.4714,1561.64,True
-1234046,-20.4733,28.705,1559.97,True
2574376,-16.2828,28.1236,1550.73,True
-1247959,75.1667,57.8167,1548.99,True
2580609,-14.7339,26.8431,1548.33,True
-1253418,-14.7242,26.85,1545.0,True
-1259957,-16.2825,28.1233,1540.76,True
